geo,TIME_PERIOD,OBS_VALUE
AL,1990,0
AL,1991,0
AL,1992,0
AL,1993,0
AL,1994,0
AL,1995,0
AL,1996,0
AL,1997,0
AL,1998,0
AL,1999,0
AL,2000,0
AL,2001,0
AL,2002,0
AL,2003,0
AL,2004,0
AL,2005,0
AL,2006,0
AL,2007,0
AL,2008,0
AL,2009,0
AL,2010,0
AL,2011,0
AL,2012,0
AL,2013,0
AL,2014,0
AL,2015,0
AL,2016,0
AL,2017,0
AL,2018,0
AL,2019,0
AL,2020,0
AT,1990,151
AT,1991,151
AT,1992,151
AT,1993,185
AT,1994,184
AT,1995,205
AT,1996,246
AT,1997,257
AT,1998,321
AT,1999,1097
AT,2000,1037
AT,2001,1193
AT,2002,1221
AT,2003,1229
AT,2004,1157
AT,2005,1246.275
AT,2006,1481.549
AT,2007,1333.8
AT,2008,1384.865
AT,2009,1404.747
AT,2010,1446.106
AT,2011,1363.39
AT,2012,1525.948
AT,2013,1527.298
AT,2014,1319.063
AT,2015,1459.104
AT,2016,1473.956
AT,2017,1699.624
AT,2018,1628.295
AT,2019,1422.831
AT,2020,1524.535
BA,2014,0
BA,2015,0
BA,2016,0
BA,2017,0
BA,2018,0
BA,2019,0
BA,2020,0
BE,1990,89
BE,1991,111
BE,1992,96
BE,1993,98
BE,1994,106
BE,1995,115
BE,1996,145
BE,1997,130
BE,1998,129
BE,1999,133
BE,2000,133
BE,2001,147
BE,2002,118
BE,2003,122
BE,2004,109
BE,2005,130
BE,2006,152
BE,2007,125
BE,2008,145
BE,2009,170
BE,2010,153.9
BE,2011,93
BE,2012,101
BE,2013,115
BE,2014,106
BE,2015,113.5
BE,2016,118.7
BE,2017,114.3
BE,2018,118.2
BE,2019,125.6
BE,2020,152.1
BG,1990,0
BG,1991,0
BG,1992,0
BG,1993,0
BG,1994,0
BG,1995,0
BG,1996,0
BG,1997,0
BG,1998,0
BG,1999,0
BG,2000,0
BG,2001,0
BG,2002,0
BG,2003,0
BG,2004,0
BG,2005,1368
BG,2006,1368
BG,2007,1368
BG,2008,1368
BG,2009,1368
BG,2010,1368
BG,2011,1380
BG,2012,1400
BG,2013,1400
BG,2014,1400
BG,2015,1400
BG,2016,1450
BG,2017,1450
BG,2018,1450
BG,2019,1470
BG,2020,1495
CY,1990,0
CY,1991,0
CY,1992,0
CY,1993,0
CY,1994,0
CY,1995,0
CY,1996,0
CY,1997,0
CY,1998,0
CY,1999,0
CY,2000,0
CY,2001,0
CY,2002,0
CY,2003,0
CY,2004,0
CY,2005,0
CY,2006,0
CY,2007,0
CY,2008,0
CY,2009,0
CY,2010,0
CY,2011,0
CY,2012,0
CY,2013,0
CY,2014,0
CY,2015,0
CY,2016,0
CY,2017,0
CY,2018,0
CY,2019,0
CY,2020,0
CZ,1990,0
CZ,1991,0
CZ,1992,0
CZ,1993,0
CZ,1994,0
CZ,1995,0
CZ,1996,0
CZ,1997,0
CZ,1998,0
CZ,1999,0
CZ,2000,0
CZ,2001,0
CZ,2002,0
CZ,2003,0
CZ,2004,0
CZ,2005,0
CZ,2006,0
CZ,2007,0
CZ,2008,0
CZ,2009,0
CZ,2010,0
CZ,2011,0
CZ,2012,0
CZ,2013,0
CZ,2014,0
CZ,2015,0
CZ,2016,0
CZ,2017,0
CZ,2018,0
CZ,2019,0
CZ,2020,0
DE,1990,0
DE,1991,0
DE,1992,0
DE,1993,0
DE,1994,0
DE,1995,0
DE,1996,0
DE,1997,0
DE,1998,0
DE,1999,0
DE,2000,0
DE,2001,0
DE,2002,0
DE,2003,1609
DE,2004,1726
DE,2005,2050
DE,2006,2044
DE,2007,2031
DE,2008,2849
DE,2009,3149
DE,2010,3702
DE,2011,3326
DE,2012,3895
DE,2013,6192
DE,2014,7622
DE,2015,8908
DE,2016,11211
DE,2017,10696
DE,2018,12635
DE,2019,13955
DE,2020,15152
DK,1990,48
DK,1991,45
DK,1992,45
DK,1993,45
DK,1994,42
DK,1995,47
DK,1996,32
DK,1997,50
DK,1998,54
DK,1999,54
DK,2000,58
DK,2001,71
DK,2002,85
DK,2003,82
DK,2004,82
DK,2005,172
DK,2006,287
DK,2007,287
DK,2008,250
DK,2009,241
DK,2010,212
DK,2011,166
DK,2012,288
DK,2013,229
DK,2014,166
DK,2015,140.146
DK,2016,224.899
DK,2017,152.473
DK,2018,110.108
DK,2019,68.497
DK,2020,45.842
EE,1990,0
EE,1991,0
EE,1992,0
EE,1993,0
EE,1994,0
EE,1995,0
EE,1996,0
EE,1997,0
EE,1998,0
EE,1999,0
EE,2000,0
EE,2001,0
EE,2002,0
EE,2003,0
EE,2004,0
EE,2005,0
EE,2006,0
EE,2007,0
EE,2008,0
EE,2009,0
EE,2010,0
EE,2011,0
EE,2012,0
EE,2013,0
EE,2014,0
EE,2015,0
EE,2016,0
EE,2017,0
EE,2018,0
EE,2019,0
EE,2020,0
EL,1990,108
EL,1991,122
EL,1992,123
EL,1993,130
EL,1994,173
EL,1995,115
EL,1996,115
EL,1997,98
EL,1998,105
EL,1999,88
EL,2000,67
EL,2001,95
EL,2002,56
EL,2003,48
EL,2004,528
EL,2005,511.7
EL,2006,521.7
EL,2007,526
EL,2008,526
EL,2009,670
EL,2010,670.3
EL,2011,664.9
EL,2012,547.3
EL,2013,480.6
EL,2014,490.3
EL,2015,410.3
EL,2016,422.7
EL,2017,369.7
EL,2018,371
EL,2019,432
EL,2020,235
ES,1990,130.268
ES,1991,130.268
ES,1992,131.655
ES,1993,131.655
ES,1994,131.655
ES,1995,131.655
ES,1996,131.655
ES,1997,131.655
ES,1998,131.655
ES,1999,182.734
ES,2000,170.48
ES,2001,170.48
ES,2002,122.066
ES,2003,39.765
ES,2004,26.835
ES,2005,15.115
ES,2006,8.069
ES,2007,8.069
ES,2008,8.069
ES,2009,8.069
ES,2010,8.069
ES,2011,8.069
ES,2012,8.069
ES,2013,8.069
ES,2014,8.069
ES,2015,8.069
ES,2016,8.069
ES,2017,8.069
ES,2018,8.069
ES,2019,8.069
ES,2020,8.069
FI,1990,0
FI,1991,0
FI,1992,0
FI,1993,0
FI,1994,0
FI,1995,0
FI,1996,0
FI,1997,0
FI,1998,0
FI,1999,0
FI,2000,0
FI,2001,0
FI,2002,0
FI,2003,0
FI,2004,0
FI,2005,0
FI,2006,0
FI,2007,0
FI,2008,0
FI,2009,0
FI,2010,0
FI,2011,0
FI,2012,0
FI,2013,0
FI,2014,0
FI,2015,0
FI,2016,0
FI,2017,0
FI,2018,0
FI,2019,0
FI,2020,0
FR,1990,4624
FR,1991,4624
FR,1992,5249
FR,1993,5101
FR,1994,5251
FR,1995,5523
FR,1996,5401
FR,1997,5318
FR,1998,5275
FR,1999,5192
FR,2000,5275
FR,2001,5358
FR,2002,5358
FR,2003,5400
FR,2004,5442
FR,2005,7933
FR,2006,6981
FR,2007,6658
FR,2008,7100
FR,2009,6616.379
FR,2010,7308.644
FR,2011,9611.545
FR,2012,10126.311
FR,2013,12728.45
FR,2014,12252.126
FR,2015,12704.693
FR,2016,13989.609
FR,2017,17700.185
FR,2018,18223.455
FR,2019,19268.544
FR,2020,19978.331
GE,2013,600
GE,2014,627
GE,2015,675
GE,2016,726
GE,2017,740.3
GE,2018,751.6
GE,2019,760
GE,2020,760.7
HR,1990,0
HR,1991,0
HR,1992,0
HR,1993,0
HR,1994,0
HR,1995,0
HR,1996,0
HR,1997,0
HR,1998,0
HR,1999,0
HR,2000,0
HR,2001,0
HR,2002,0
HR,2003,0
HR,2004,0
HR,2005,0
HR,2006,0
HR,2007,140
HR,2008,134
HR,2009,132
HR,2010,285
HR,2011,287
HR,2012,291
HR,2013,286
HR,2014,324
HR,2015,373
HR,2016,379
HR,2017,345.1
HR,2018,392.2
HR,2019,1942.686
HR,2020,2451.335
HU,1990,3600
HU,1991,3600
HU,1992,3600
HU,1993,3600
HU,1994,3600
HU,1995,3600
HU,1996,3600
HU,1997,3600
HU,1998,3600
HU,1999,3600
HU,2000,3600
HU,2001,3600
HU,2002,3600
HU,2003,3610
HU,2004,3600
HU,2005,3627
HU,2006,3600
HU,2007,3600
HU,2008,4000
HU,2009,4030
HU,2010,4130
HU,2011,4371
HU,2012,4490
HU,2013,4721
HU,2014,3800
HU,2015,4426
HU,2016,5026
HU,2017,5590
HU,2018,6005
HU,2019,6611
HU,2020,6274
IE,1990,0
IE,1991,0
IE,1992,0
IE,1993,0
IE,1994,0
IE,1995,0
IE,1996,0
IE,1997,0
IE,1998,0
IE,1999,0
IE,2000,0
IE,2001,0
IE,2002,0
IE,2003,0
IE,2004,0
IE,2005,0
IE,2006,0
IE,2007,0
IE,2008,0
IE,2009,0
IE,2010,0
IE,2011,0
IE,2012,0
IE,2013,0
IE,2014,0
IE,2015,0
IE,2016,0
IE,2017,0
IE,2018,0
IE,2019,0
IE,2020,0
IS,1990,52692
IS,1991,47605
IS,1992,44026
IS,1993,47604
IS,1994,48383
IS,1995,48479
IS,1996,51781
IS,1997,49669
IS,1998,54353
IS,1999,66249
IS,2000,78118
IS,2001,73695
IS,2002,74862
IS,2003,74750
IS,2004,71923
IS,2005,74451
IS,2006,103697
IS,2007,130827
IS,2008,143831
IS,2009,153821
IS,2010,155196
IS,2011,172603
IS,2012,167814
IS,2013,174325
