geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,0,0,0,0,0,0,0,0,0,0,0,0,13,16,25,33,35,38,46,50,70,91,112,132,156,176,196,201,221.502,232.03
Austria,461,584,724,873,1037,1241,1459,1679,1877,2035,2202,2369,2529,2699,2863,3082.746,3350.85,3621.831,3964.354,4306.171,4559.008,4776.298,4929.658,5059.018,5165.108,5261.228,5288.813,5172.185,5123.303,5050.403
Belgium,34,36,36,36,36,36,36,36,36,38,41,44,50,58,74,77,110,139,176,319,374.9,409.7,447.5,570,613.5,659.5,659.5,686.4,705.8,724.2
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,28,30,0,194,230,256,309,327,344,354,378,401.498,425.478
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,730,765,800,838,870,909,937,959,977,993,1009,1025,1043.86,1064.662,1084.111
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,59,70,85,105,131,165,217,307,359,398,427,454,480,506,524,539,555
Germany,348,478,594,762,957,1166,1459,1816,2182,2624,3251,4149,4679,5399,6145,7085,8475,9403,11278,12832,13914,15100,16140,17020,17746,18339,18812,19091,19269,19326
Denmark,57,69,85,103,124,144,184,213,230,237,243,252,259,263,271,286,305,325,356,402,480,556,597,712,810,1015.929,1368.997,1542.384,1830.555,1915.122
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,1448,1610,1759,1878,1991,2101,2168,2228,2381,2440,2941,2992,3050,3140,3246,3047,3296,3573,3871,4077,4100,4090,4122,4181,4287,4390,4477,4596,4691,4867.5
Spain,261.867,265.857,273.927,281.391,288.632,298.479,308.908,321.542,341.323,364.039,404.828,458.901,516.572,593.414,674.848,777.419,928.489,1164.332,1570.093,1957.588,2312.099,2371.729,2595.401,2820.227,3066.67,3293.279,3497.111,3688.174,3881.304,4067.774
Finland,6,6,6,7,7,7,7,8,8,9,10,11,11,12,14,16,18,21,25,28,31,34,37,41,45,50,55,60,66,73
France,571,582,593,601,605,598,582,566,551,532,513,499,493,510,527,583,744,917,1139,1302,1447,2204.051,2461.061,2663.917,2806.867,2917.493,3005.947,3094.442,3218.301,3302.191
Croatia,0,0,0,0,0,0,0,0,16,18,20,22,26,30,36,41,47,57,70,80,92,106,125,143,162,183,204,226.7,246.1,272.2
Hungary,20,21,22,24,25,27,28,31,34,35,36,37,38,40,42,45,55,65,100,120,140,170,220,230,250,280,292,308,329,350
Ireland,2,3,2,3,3,2,3,3,4,4,4,4,5,6,8,13,15.199,34.149,79.864,132.785,184.576,223.391,251.144,277.619,300.183,319.946,343.251,311.216,333.407,336.951
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,120,136,152,168,171,174,177,180,240,244,271,301,348,400,460,680,866,1152,1476,1876,2415,2744,3018,3318,3538,3724,3891,4050.666,4196.376,4343.765
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,1.26,2.746,3.74,5.247,6.294,9.25,12.766,16.944,22.151,28.644,35.076,44.829,48.325,52.428,56.207,59.55,62.909,66.878,69.889
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.672
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,54.8,60.03,63.24,67,70,71.6,72.249,72.858,73.485
Netherlands,73,81,95,105,121,139,158,185,215,249,276,307,342,368,395,422,443,468,494,539,576,601,615,633,644,647,652,650,657,672
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,13,13,13,14,14,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,49,76,76,95,128,236,365,510,656,909,1200,1470,1730,1900,2016,2131,2433,2696
Portugal,150,170,178,185,193,200,208,216,223,230,238,246,254,261,269,289,304,330,390,493,752,876,967,1024,1079,1121,1176,1231.105,1288.104,1347.955
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,70,94,114,104,105,110,129,143,159,174,189,204.35,218.91
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
