DATAFLOW,LAST UPDATE,freq,indic_env,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1985,8.109594,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1986,8.108361,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1987,8.106887,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1988,8.104572,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1989,8.103279,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1990,8.102216,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1991,8.101207,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1992,8.100411,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1993,8.099917,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1994,8.098084,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1995,8.096087,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1996,8.094380,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1997,8.093974,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1998,8.090908,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,1999,8.088226,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2000,8.087161,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2001,8.085836,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2002,8.084574,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2003,8.082450,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2004,8.080890,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2005,8.079149,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2006,8.077756,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2007,8.075800,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2008,8.073848,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2009,8.072965,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2010,8.071308,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2011,8.069284,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2012,8.067461,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2013,8.064998,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2014,8.063807,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2015,8.062478,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2016,8.059709,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2017,8.057793,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2018,8.056512,
ESTAT:SDG_14_50(1.0),29/01/21 23:00:00,A,PH_GLB,2019,8.055263,
