DATAFLOW,LAST UPDATE,freq,nutrient,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,AT,2008,12000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,AT,2009,19000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,AT,2010,28000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,AT,2011,27000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,AT,2012,29000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,AT,2013,29478,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,AT,2014,31519,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,AT,2015,28769,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,AT,2016,31302,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,AT,2017,29086,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,AT,2018,28937,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,AT,2019,28218,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,AT,2008,87000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,AT,2009,91000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,AT,2010,117000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,AT,2011,98000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,AT,2012,106000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,AT,2013,108558,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,AT,2014,115715,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,AT,2015,120426,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,AT,2016,117840,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,AT,2017,112592,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,AT,2018,103294,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,AT,2019,104953,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,AT,2008,8000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,AT,2009,10000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,AT,2010,13000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,AT,2011,11000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,AT,2012,13000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,AT,2013,17261,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,AT,2014,18212,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,AT,2015,17338,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,AT,2016,14104,
